                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6123,                 1.2781,                 1.1737,                0.63901,                    0.5,                0.62676,                0.53459,                 1.0498,                 5.7506,                  1.119,             0.00045111,             0.00045111,             0.00045111
                     36,                0.61737,                 1.2177,                  1.113,                0.63901,                    0.5,                0.62676,                0.53459,                 1.0498,                 5.7506,                  1.119,             0.00045745,             0.00045745,             0.00045745
                     37,                0.68277,                 1.3524,                 1.2547,                0.90123,                    0.5,                0.62359,                0.52486,                 1.0598,                 5.5259,                 1.1506,             0.00046339,             0.00046339,             0.00046339
                     38,                0.69617,                 1.2162,                 1.2301,                0.90123,                    0.5,                0.62359,                0.52486,                 1.0598,                 5.5259,                 1.1506,             0.00046894,             0.00046894,             0.00046894
                     39,                0.61993,                  1.184,                 1.1954,                0.87642,                0.33333,                 0.4579,                0.37516,                 1.1722,                 5.1541,                 1.2089,             0.00047409,             0.00047409,             0.00047409
                     40,                0.59691,                 1.0535,                 1.1314,                 0.9092,                    0.5,                0.63443,                0.50722,                 1.1722,                 5.1541,                 1.2089,             0.00047884,             0.00047884,             0.00047884
                     41,                0.53485,                 1.1114,                 1.1047,                      1,                0.45277,                0.50216,                0.40234,                 1.0558,                 5.0192,                 1.2258,              0.0004832,              0.0004832,              0.0004832
                     42,                0.80871,                 1.5054,                 1.3738,                      1,                0.61741,                0.67128,                0.50801,                 1.0558,                 5.0192,                 1.2258,             0.00048716,             0.00048716,             0.00048716
                     43,                0.50482,                  1.234,                 1.0672,                      1,                0.46176,                0.49817,                 0.3926,                 1.3839,                 5.3152,                 1.4651,             0.00049073,             0.00049073,             0.00049073
                     44,                 0.5775,                 1.0717,                 1.1859,                  0.908,                    0.5,                 0.6337,                0.47295,                 1.3839,                 5.3152,                 1.4651,              0.0004939,              0.0004939,              0.0004939
                     45,                0.52473,                 1.0691,                 1.1651,                0.74095,                0.33333,                0.43185,                0.28583,                 1.5566,                 5.7959,                 1.6568,             0.00049667,             0.00049667,             0.00049667
                     46,                0.62151,                 1.2433,                 1.2545,                0.67441,                    0.5,                 0.5927,                0.37943,                 1.5566,                 5.7959,                 1.6568,             0.00049905,             0.00049905,             0.00049905
                     47,                0.52903,                 1.0352,                 1.0985,                0.78924,                    0.5,                0.60889,                0.21343,                  1.761,                 6.3221,                 1.7416,             0.00050103,             0.00050103,             0.00050103
                     48,                0.62858,                  1.067,                 1.1529,                0.78924,                    0.5,                0.60889,                0.21343,                  1.761,                 6.3221,                 1.7416,             0.00050262,             0.00050262,             0.00050262
                     49,                0.60455,                 1.0327,                 1.1379,                      1,                0.61851,                0.66556,                 0.2809,                  1.889,                 6.1451,                 1.7723,             0.00050381,             0.00050381,             0.00050381
                     50,                0.66487,                 1.2614,                 1.2117,                      1,                0.61851,                0.66556,                 0.2809,                  1.889,                 6.1451,                 1.7723,              0.0005046,              0.0005046,              0.0005046
                     51,                0.67793,                 1.1404,                 1.2173,                0.91834,                0.66667,                0.66556,                0.44676,                 1.4124,                 5.2367,                 1.3796,               0.000505,               0.000505,               0.000505
                     52,                0.46687,                 1.0744,                 1.1054,                0.91834,                0.66667,                0.66556,                0.44676,                 1.4124,                 5.2367,                 1.3796,               0.000505,               0.000505,               0.000505
                     53,                0.66156,                 1.1784,                 1.1843,                0.91834,                0.66667,                0.66556,                0.44676,                 1.4124,                 5.2367,                 1.3796,             0.00050461,             0.00050461,             0.00050461
                     54,                0.50519,                 1.1502,                 1.1302,                0.89449,                0.66667,                0.66939,                0.52837,                 1.3558,                 5.1976,                 1.2811,             0.00050382,             0.00050382,             0.00050382
                     55,                0.63677,                 1.1132,                 1.1348,                0.89449,                0.66667,                0.66939,                0.52837,                 1.3558,                 5.1976,                 1.2811,             0.00050263,             0.00050263,             0.00050263
                     56,                0.57126,                 1.1297,                 1.1332,                0.89449,                0.66667,                0.66939,                0.52837,                 1.3558,                 5.1976,                 1.2811,             0.00050105,             0.00050105,             0.00050105
                     57,                0.54229,                0.92677,                 1.0869,                0.77803,                0.66667,                0.66734,                0.48268,                 1.3626,                 5.3452,                 1.3088,             0.00049907,             0.00049907,             0.00049907
                     58,                0.52296,                0.99856,                 1.0137,                0.77803,                0.66667,                0.66734,                0.48268,                 1.3626,                 5.3452,                 1.3088,              0.0004967,              0.0004967,              0.0004967
                     59,                 0.5855,                 1.1315,                 1.1357,                0.77803,                0.66667,                0.66734,                0.48268,                 1.3626,                 5.3452,                 1.3088,             0.00049393,             0.00049393,             0.00049393
                     60,                0.48024,                0.96313,                 1.0355,                0.72653,                0.66667,                0.66716,                0.35177,                 1.4742,                 5.6024,                   1.37,             0.00049076,             0.00049076,             0.00049076
                     61,                0.46706,                0.88107,                 1.0628,                0.72653,                0.66667,                0.66716,                0.35177,                 1.4742,                 5.6024,                   1.37,              0.0004872,              0.0004872,              0.0004872
                     62,                0.60399,                 1.1961,                 1.1841,                0.72653,                0.66667,                0.66716,                0.35177,                 1.4742,                 5.6024,                   1.37,             0.00048324,             0.00048324,             0.00048324
                     63,                0.72048,                  1.219,                 1.2741,                0.94368,                0.66667,                0.66721,                0.44461,                 1.4454,                 5.7355,                 1.3963,             0.00047889,             0.00047889,             0.00047889
                     64,                0.57593,                 1.1176,                 1.1403,                0.94368,                0.66667,                0.66721,                0.44461,                 1.4454,                 5.7355,                 1.3963,             0.00047414,             0.00047414,             0.00047414
                     65,                0.52437,                0.97326,                 1.1521,                0.94368,                0.66667,                0.66721,                0.44461,                 1.4454,                 5.7355,                 1.3963,             0.00046899,             0.00046899,             0.00046899
                     66,                0.63194,                 1.0769,                 1.1268,                0.96215,                0.66667,                0.66556,                0.44943,                 1.4871,                 5.3415,                 1.4575,             0.00046345,             0.00046345,             0.00046345
